structure                                Li      Ni      O       E               a       b       gamma  
full-O-full-Li-symmetrized-M-1          16      12      32      -507.50507     5.66     5.8      59.16     
2_POSCAR_top                            14      12      32      -497.52607     5.66     5.8      59.16     
phase-3-symmetrized-twice-M-1           12      12      32      -486.45234     5.66     5.8      59.16     
Li10Ni12O32_0-phase-4                   10      12      32      -475.35189     5.66     5.8      59.16     
Li8Ni12O32_1                            8       12      32      -459.40088     5.66     5.8      59.16     
6_POSCAR_top                            16      12      30      -495.07755     5.66     5.8      59.16     
Li14Ni12O30_10-phase-7                  14      12      30      -485.12147     5.66     5.8      59.16     
opt_phase_08_POSCAR_top                 12      12      30      -473.19415     5.66     5.8      59.16     
phase-9-symmetrized-M-1                 10      12      30      -462.05284     5.66     5.8      59.16     
Li8Ni12O30_5-phase-10                   8       12      30      -449.61482     5.66     5.8      59.16     
Li16Ni12O28-phase-11                    16      12      28      -482.69110     5.66     5.8      59.16     
phase_12_POSCAR_top                     14      12      28      -472.76655     5.66     5.8      59.16     
Li12Ni12O28-phase-13                    12      12      28      -462.34300     5.66     5.8      59.16     
phase-14-resymmetrized-M-1              10      12      28      -450.65419     5.66     5.8      59.16     
phase-15-resymmetrized-M-1              8       12      28      -439.32224     5.66     5.8      59.16     
16_POSCAR_bottom_M_1                    16      12      26      -469.04494     5.66     5.8      59.16     
phase_17_POSCAR_top                     14      12      26      -459.42391     5.66     5.8      59.16     
Li12Ni12O26_4-phase-18                  12      12      26      -448.27863     5.66     5.8      59.16     
opt_phase_19_POSCAR_top                 10      12      26      -437.95765     5.66     5.8      59.16     
Li8Ni12O26_6-phase-20                   8       12      26      -425.31851     5.66     5.8      59.16     
21_POSCAR_bottom                        16      12      24      -454.96824     5.66     5.8      59.16     
22_POSCAR_bottom                        14      12      24      -446.07696     5.66     5.8      59.16     
phase_23_POSCAR_top                     12      12      24      -436.88886     5.66     5.8      59.16     
24_POSCAR_top                           10      12      24      -427.33840     5.66     5.8      59.16     
Li8Ni12O24_3-phase-25                   8       12      24      -415.07716     5.66     5.8      59.16     
