structure                                Li      Ni      O       E               a       b       gamma  
Li18Ni18O36_1                           18      18      36      -356.84765     5.55     5.73     90.0      
Li16Ni18O36_1                           16      18      36      -344.99361     2.78     11.46    90.0      
Li14Ni18O36_4                           14      18      36      -334.34125     5.55     5.73     90.0      
Li12Ni18O36_3                           12      18      36      -320.96916     5.55     5.73     90.0      
Li10Ni18O36_0                           10      18      36      -308.01002     5.55     5.73     90.0      
Li18Ni18O34_3                           18      18      34      -343.81575     2.78     11.46    90.0      
Li16Ni18O34_12                          16      18      34      -333.37720     2.78     11.46    90.0      
Li14Ni18O34_0                           14      18      34      -322.17663     2.78     11.46    90.0      
Li12Ni18O34_12                          12      18      34      -312.13445     2.78     11.46    90.0      
Li10Ni18O34_1                           10      18      34      -298.73574     2.78     11.46    90.0      
Li18Ni18O32_0                           18      18      32      -330.80798     5.55     5.73     90.0      
Li16Ni18O32_0                           16      18      32      -322.55732     2.78     11.46    90.0      
Li14Ni18O32_15                          14      18      32      -312.27903     2.78     11.46    90.0      
Li12Ni18O32_1                           12      18      32      -302.32911     2.78     11.46    90.0      
Li10Ni18O32_0                           10      18      32      -291.43426     2.78     11.46    90.0      
Li18Ni18O30_1                           18      18      30      -315.27507     2.78     11.46    90.0      
Li16Ni18O30_1                           16      18      30      -311.08709     2.78     11.46    90.0      
Li14Ni18O30_12                          14      18      30      -300.95076     5.55     5.73     90.0      
Li12Ni18O30_9                           12      18      30      -291.28703     2.78     11.46    90.0      
Li10Ni18O30_0                           10      18      30      -280.92800     2.78     11.46    90.0      
Li18Ni18O28_1                           18      18      28      -302.51016     5.55     5.73     90.0      
Li16Ni18O28_0                           16      18      28      -295.59485     5.55     5.73     90.0      
Li14Ni18O28_2                           14      18      28      -286.69859     5.55     5.73     90.0      
Li12Ni18O28_0                           12      18      28      -280.29613     5.55     5.73     90.0      
Li10Ni18O28_0                           10      18      28      -270.86188     5.55     5.73     90.0      
