	index	structure	Li	Ni	O	E	a	b	gamma
0	0	full-O-full-Li-symmetrized-M-1	16.0	12.0	32.0	0.0	5.661	5.802	59.156
1	1	2_POSCAR_top	14.0	12.0	32.0	0.0	5.661	5.802	59.156
2	2	phase-3-symmetrized-twice-M-1	12.0	12.0	32.0	0.0	5.661	5.802	59.156
3	3	Li10Ni12O32_0-phase-4	10.0	12.0	32.0	0.0	5.661	5.802	59.156
4	4	Li8Ni12O32_1	8.0	12.0	32.0	0.0	5.661	5.802	59.156
5	5	6_POSCAR_top	16.0	12.0	30.0	0.0	5.661	5.802	59.156
6	6	Li14Ni12O30_10-phase-7	14.0	12.0	30.0	0.0	5.661	5.802	59.156
7	7	opt_phase_08_POSCAR_top	12.0	12.0	30.0	0.0	5.661	5.802	59.156
8	8	phase-9-symmetrized-M-1	10.0	12.0	30.0	0.0	5.661	5.802	59.156
9	9	Li8Ni12O30_5-phase-10	8.0	12.0	30.0	0.0	5.661	5.802	59.156
10	10	Li16Ni12O28-phase-11	16.0	12.0	28.0	0.0	5.661	5.802	59.156
11	11	phase_12_POSCAR_top	14.0	12.0	28.0	0.0	5.661	5.802	59.156
12	12	Li12Ni12O28-phase-13	12.0	12.0	28.0	0.0	5.661	5.802	59.156
13	13	phase-14-resymmetrized-M-1	10.0	12.0	28.0	0.0	5.661	5.802	59.156
14	14	phase-15-resymmetrized-M-1	8.0	12.0	28.0	0.0	5.661	5.802	59.156
15	15	16_POSCAR_bottom_M_1	16.0	12.0	26.0	0.0	5.661	5.802	59.156
16	16	phase_17_POSCAR_top	14.0	12.0	26.0	0.0	5.661	5.802	59.156
17	17	Li12Ni12O26_4-phase-18	12.0	12.0	26.0	0.0	5.661	5.802	59.156
18	18	opt_phase_19_POSCAR_top	10.0	12.0	26.0	0.0	5.661	5.802	59.156
19	19	Li8Ni12O26_6-phase-20	8.0	12.0	26.0	0.0	5.661	5.802	59.156
20	20	21_POSCAR_bottom	16.0	12.0	24.0	0.0	5.661	5.802	59.156
21	21	22_POSCAR_bottom	14.0	12.0	24.0	0.0	5.661	5.802	59.156
22	22	phase_23_POSCAR_top	12.0	12.0	24.0	0.0	5.661	5.802	59.156
23	23	24_POSCAR_top	10.0	12.0	24.0	0.0	5.661	5.802	59.156
24	24	Li8Ni12O24_3-phase-25	8.0	12.0	24.0	0.0	5.661	5.802	59.156
