	index	structure	Li	Ni	O	E	a	b	gamma
0	0	full-O-full-Li	12.0	16.0	32.0	0.0	5.517	5.098	89.994
1	1	full-O-Li_2and11-Oct	10.0	16.0	32.0	0.0	5.517	5.098	89.994
2	2	phase-28-Li8Ni16O32_0	8.0	16.0	32.0	0.0	5.517	5.098	89.994
3	3	full-O-Li_1_2_3and12_11_10-Oct	6.0	16.0	32.0	0.0	5.517	5.098	89.994
4	4	full-O-no-Li-Oct	4.0	16.0	32.0	0.0	5.517	5.098	89.994
5	5	O_32-60-full-Li-Oct	12.0	16.0	30.0	0.0	5.517	5.098	89.994
6	6	O-59-32-Li_4and12	10.0	16.0	30.0	0.0	5.517	5.098	89.994
7	7	O-59-32-Li_1_2and9_10	8.0	16.0	30.0	0.0	5.517	5.098	89.994
8	8	O-31-59-Li_2_3_4and11_10_9-Oct	6.0	16.0	30.0	0.0	5.517	5.098	89.994
9	9	O_53-25-no-Li-Tet	4.0	16.0	30.0	0.0	5.517	5.098	89.994
10	10	36_POSCAR_top	12.0	16.0	28.0	0.0	5.517	5.098	89.994
11	11	O-31_32-59_60-Li_1and12-Oct	10.0	16.0	28.0	0.0	5.517	5.098	89.994
12	12	O-60_57-31_29-Li_2_3and10_11	8.0	16.0	28.0	0.0	5.517	5.098	89.994
13	13	O-29_31-58_59-Li_2_3_4and11_10_9-Oct	6.0	16.0	28.0	0.0	5.517	5.098	89.994
14	14	O-29_31-58_59-no-Li-Oct	4.0	16.0	28.0	0.0	5.517	5.098	89.994
15	15	60_59_57and31_32_29_vacancy-full-Li	12.0	16.0	26.0	0.0	5.517	5.098	89.994
16	16	O-29_31_32-58_59_60-Li_1and12-Oct	10.0	16.0	26.0	0.0	5.517	5.098	89.994
17	17	O-59_58_57-32_30_29-Li_2_4and10_12	8.0	16.0	26.0	0.0	5.517	5.098	89.994
18	18	O_51_52_53-24_23_25-full-Li-Tet	6.0	16.0	26.0	0.0	5.517	5.098	89.994
19	19	phase_45_POSCAR_bottom	4.0	16.0	26.0	0.0	5.517	5.098	89.994
20	20	46_M1_Oct_symm	12.0	16.0	24.0	-498.58012	5.517	5.098	89.994
21	21	47_POSCAR_top-Oct	10.0	16.0	24.0	-488.77988	5.517	5.098	89.994
22	22	48_POSCAR_bottom	8.0	16.0	24.0	-478.17498	5.517	5.098	89.994
23	23	49-new-symmetrized-Tet_M-1	6.0	16.0	24.0	-468.68291	5.517	5.098	89.994
24	24	layered_phase_50_QW	4.0	16.0	24.0	-461.15025	5.517	5.098	89.994
