	structure	Li	Ni	O	E	a	b	gamma
0	Li18Ni18O36_1	18	18	36	0.0	5.5	5.67	90.0
1	Li16Ni18O36_1	16	18	36	0.0	2.75	11.34	90.0
2	Li14Ni18O36_4	14	18	36	0.0	5.5	5.67	90.0
3	Li12Ni18O36_3	12	18	36	0.0	5.5	5.67	90.0
4	Li10Ni18O36_0	10	18	36	0.0	5.5	5.67	90.0
5	Li18Ni18O34_3	18	18	34	-641.18427	2.75	11.34	90.0
6	Li16Ni18O34_12	16	18	34	-630.17294	2.75	11.34	90.0
7	Li14Ni18O34_0	14	18	34	-619.73473	2.75	11.34	90.0
8	Li12Ni18O34_12	12	18	34	-607.67747	2.75	11.34	90.0
9	Li10Ni18O34_1	10	18	34	-594.188	2.75	11.34	90.0
10	Li18Ni18O32_0	18	18	32	-621.70503	5.5	5.67	90.0
11	Li16Ni18O32_0	16	18	32	-614.31338	2.75	11.34	90.0
12	Li14Ni18O32_15	14	18	32	-603.92058	2.75	11.34	90.0
13	Li12Ni18O32_1	12	18	32	-593.21321	2.75	11.34	90.0
14	Li10Ni18O32_0	10	18	32	-581.43231	2.75	11.34	90.0
15	Li18Ni18O30_1	18	18	30	-603.22698	2.75	11.34	90.0
16	Li16Ni18O30_1	16	18	30	-597.88438	2.75	11.34	90.0
17	Li14Ni18O30_12	14	18	30	-586.98136	5.5	5.67	90.0
18	Li12Ni18O30_9	12	18	30	-578.91942	2.75	11.34	90.0
19	Li10Ni18O30_0	10	18	30	-567.99335	2.75	11.34	90.0
20	Li18Ni18O28_1	18	18	28	-585.02685	5.5	5.67	90.0
21	Li16Ni18O28_0	16	18	28	-576.28821	5.5	5.67	90.0
22	Li14Ni18O28_2	14	18	28	-569.39069	5.5	5.67	90.0
23	Li12Ni18O28_0	12	18	28	-562.84601	5.5	5.67	90.0
24	Li10Ni18O28_0	10	18	28	-553.20419	5.5	5.67	90.0
