phase_id Li Ni O dft_energy_ev surface_area_angstrom2
full-O-full-Li-symmetrized-M-1 16 12 32 -293.59521000000001 28.779659340902871
2_POSCAR_top 14 12 32 -286.26889999999997 28.779659340902871
phase-3-symmetrized-twice-M-1 12 12 32 -275.91752000000002 28.779659340902871
Li10Ni12O32_0-phase-4 10 12 32 -265.57557000000003 28.779659340902871
Li8Ni12O32_1 8 12 32 -250.36827 28.779659340902871
6_POSCAR_top 16 12 30 -284.20557000000002 28.779659340902871
Li14Ni12O30_10-phase-7 14 12 30 -275.69792999999999 28.779659340902871
opt_phase_08_POSCAR_top 12 12 30 -265.59037999999998 28.779659340902871
phase-9-symmetrized-M-1 10 12 30 -255.30422999999999 28.779659340902871
Li8Ni12O30_5-phase-10 8 12 30 -243.17237 28.779659340902871
Li16Ni12O28-phase-11 16 12 28 -273.43549999999999 28.779659340902871
phase_12_POSCAR_top 14 12 28 -265.82654000000002 28.779659340902871
Li12Ni12O28-phase-13 12 12 28 -256.54658999999998 28.779659340902871
phase-14-resymmetrized-M-1 10 12 28 -246.33975000000001 28.779659340902871
phase-15-resymmetrized-M-1 8 12 28 -234.53533999999999 28.779659340902871
16_POSCAR_bottom_M_1 16 12 26 -263.17192 28.779659340902871
phase_17_POSCAR_top 14 12 26 -253.88408999999999 28.779659340902871
Li12Ni12O26_4-phase-18 12 12 26 -245.31847999999999 28.779659340902871
opt_phase_19_POSCAR_top 10 12 26 -235.65693999999999 28.779659340902871
Li8Ni12O26_6-phase-20 8 12 26 -224.80055999999999 28.779659340902871
21_POSCAR_bottom 16 12 24 -253.54535000000001 28.779659340902871
22_POSCAR_bottom 14 12 24 -244.87573 28.779659340902871
phase_23_POSCAR_top 12 12 24 -235.78594000000001 28.779659340902871
24_POSCAR_top 10 12 24 -226.44255000000001 28.779659340902871
Li8Ni12O24_3-phase-25 8 12 24 -214.61685 28.779659340902871
