phase_id Li Ni O dft_energy_ev surface_area_angstrom2
full-O-full-Li 12 16 32 -293.47597000000002 28.685499563094858
full-O-Li_2and11-Oct 10 16 32 -280.91122999999999 28.685499563094858
28-symm-M-1 8 16 32 -271.73721 28.685499563094858
full-O-Li_1_2_3and12_11_10-Oct 6 16 32 -257.43410999999998 28.685499563094858
full-O-no-Li-Oct 4 16 32 -243.67413999999999 28.685499563094858
O_32-60-full-Li-Oct 12 16 30 -283.82283000000001 28.685499563094858
O-59-32-Li_4and12 10 16 30 -273.20486 28.685499563094858
O-59-32-Li_1_2and9_10 8 16 30 -261.14082000000002 28.685499563094858
O-31-59-Li_2_3_4and11_10_9-Oct 6 16 30 -249.19506999999999 28.685499563094858
O_53-25-no-Li-Tet 4 16 30 -235.46961999999999 28.685499563094858
36_POSCAR_top 12 16 28 -273.8596 28.685499563094858
O-31_32-59_60-Li_1and12-Oct 10 16 28 -262.50981000000002 28.685499563094858
O-60_57-31_29-Li_2_3and10_11 8 16 28 -250.85375999999999 28.685499563094858
O-29_31-58_59-Li_2_3_4and11_10_9-Oct 6 16 28 -240.49533 28.685499563094858
O-29_31-58_59-no-Li-Oct 4 16 28 -227.62558999999999 28.685499563094858
60_59_57and31_32_29_vacancy-full-Li 12 16 26 -261.82409000000001 28.685499563094858
O-29_31_32-58_59_60-Li_1and12-Oct 10 16 26 -252.19029 28.685499563094858
O-59_58_57-32_30_29-Li_2_4and10_12 8 16 26 -241.07214999999999 28.685499563094858
O_51_52_53-24_23_25-full-Li-Tet 6 16 26 -231.22094000000001 28.685499563094858
phase_45_POSCAR_bottom 4 16 26 -219.96181000000001 28.685499563094858
46_M1_Oct_symm 12 16 24 -249.10404 28.685499563094858
47_POSCAR_top-Oct 10 16 24 -240.71402 28.685499563094858
48_POSCAR_bottom 8 16 24 -231.13459 28.685499563094858
49-new-symmetrized-Tet_M-1 6 16 24 -221.57691 28.685499563094858
layered_phase_50_QW 4 16 24 -213.34851 28.685499563094858
