phase_id                        Li  Ni   O        dft_energy_ev  surface_area_angstrom2
full-O-full-Li-symmetrized-M-1  16  12  32  -507.50506999999999      28.199718908419207
2_POSCAR_top                    14  12  32           -497.52607      28.199718908419207
phase-3-symmetrized-twice-M-1   12  12  32  -486.45233999999999      28.199718908419207
Li10Ni12O32_0-phase-4           10  12  32  -475.35189000000003      28.199718908419207
Li8Ni12O32_1                     8  12  32  -459.40087999999997      28.199718908419207
6_POSCAR_top                    16  12  30  -495.07754999999997      28.199718908419207
Li14Ni12O30_10-phase-7          14  12  30  -485.12146999999999      28.199718908419207
opt_phase_08_POSCAR_top         12  12  30  -473.19414999999998      28.199718908419207
phase-9-symmetrized-M-1         10  12  30           -462.05284      28.199718908419207
Li8Ni12O30_5-phase-10            8  12  30  -449.61482000000001      28.199718908419207
Li16Ni12O28-phase-11            16  12  28  -482.69110000000001      28.199718908419207
phase_12_POSCAR_top             14  12  28           -472.76655      28.199718908419207
Li12Ni12O28-phase-13            12  12  28  -462.34300000000002      28.199718908419207
phase-14-resymmetrized-M-1      10  12  28  -450.65419000000003      28.199718908419207
phase-15-resymmetrized-M-1       8  12  28  -439.32224000000002      28.199718908419207
16_POSCAR_bottom_M_1            16  12  26           -469.04494      28.199718908419207
phase_17_POSCAR_top             14  12  26  -459.42390999999998      28.199718908419207
Li12Ni12O26_4-phase-18          12  12  26  -448.27863000000002      28.199718908419207
opt_phase_19_POSCAR_top         10  12  26           -437.95765      28.199718908419207
Li8Ni12O26_6-phase-20            8  12  26           -425.31851      28.199718908419207
21_POSCAR_bottom                16  12  24  -454.96823999999998      28.199718908419207
22_POSCAR_bottom                14  12  24  -446.07695999999999      28.199718908419207
phase_23_POSCAR_top             12  12  24  -436.88886000000002      28.199718908419207
24_POSCAR_top                   10  12  24  -427.33839999999998      28.199718908419207
Li8Ni12O24_3-phase-25            8  12  24  -415.07715999999999      28.199718908419207
