phase_id Li Ni O dft_energy_ev surface_area_angstrom2
full-O-full-Li 12 16 32 -562.40778999999998 28.125665845783782
full-O-Li_2and11-Oct 10 16 32 -546.66075000000001 28.125665845783782
phase-28-Li8Ni16O32_0 8 16 32 -537.80587000000003 28.125665845783782
full-O-Li_1_2_3and12_11_10-Oct 6 16 32 -521.30264999999997 28.125665845783782
full-O-no-Li-Oct 4 16 32 -506.66140999999999 28.125665845783782
O_32-60-full-Li-Oct 12 16 30 -546.95920000000001 28.125665845783782
O-59-32-Li_4and12 10 16 30 -535.71272999999997 28.125665845783782
O-59-32-Li_1_2and9_10 8 16 30 -522.94264999999996 28.125665845783782
O-31-59-Li_2_3_4and11_10_9-Oct 6 16 30 -508.94450000000001 28.125665845783782
O_53-25-no-Li-Tet 4 16 30 -494.52737000000002 28.125665845783782
36_POSCAR_top 12 16 28 -531.83321999999998 28.125665845783782
O-31_32-59_60-Li_1and12-Oct 10 16 28 -519.89196000000004 28.125665845783782
O-60_57-31_29-Li_2_3and10_11 8 16 28 -507.29367000000002 28.125665845783782
O-29_31-58_59-Li_2_3_4and11_10_9-Oct 6 16 28 -496.16701999999998 28.125665845783782
O-29_31-58_59-no-Li-Oct 4 16 28 -481.41104000000001 28.125665845783782
60_59_57and31_32_29_vacancy-full-Li 12 16 26 -514.44527000000005 28.125665845783782
O-29_31_32-58_59_60-Li_1and12-Oct 10 16 26 -505.75393000000003 28.125665845783782
O-59_58_57-32_30_29-Li_2_4and10_12 8 16 26 -493.34757999999999 28.125665845783782
O_51_52_53-24_23_25-full-Li-Tet 6 16 26 -482.52850999999998 28.125665845783782
phase_45_POSCAR_bottom 4 16 26 -471.05216999999999 28.125665845783782
46_M1_Oct_symm 12 16 24 -498.58012000000002 28.125665845783782
47_POSCAR_top-Oct 10 16 24 -488.77987999999999 28.125665845783782
48_POSCAR_bottom 8 16 24 -478.17498000000001 28.125665845783782
49-new-symmetrized-Tet_M-1 6 16 24 -468.68290999999999 28.125665845783782
layered_phase_50_QW 4 16 24 -461.15025000000003 28.125665845783782
