phase_id Li Ni O dft_energy_ev surface_area_angstrom2
Li18Ni18O36_1 18 18 36 -356.84764999999999 31.801500000000001
Li16Ni18O36_1 16 18 36 -344.99360999999999 31.858799999999999
Li14Ni18O36_4 14 18 36 -334.34125 31.801500000000001
Li12Ni18O36_3 12 18 36 -320.96915999999999 31.801500000000001
Li10Ni18O36_0 10 18 36 -308.01002 31.801500000000001
Li18Ni18O34_3 18 18 34 -343.81574999999998 31.858799999999999
Li16Ni18O34_12 16 18 34 -333.37720000000002 31.858799999999999
Li14Ni18O34_0 14 18 34 -322.17662999999999 31.858799999999999
Li12Ni18O34_12 12 18 34 -312.13445000000002 31.858799999999999
Li10Ni18O34_1 10 18 34 -298.73574000000002 31.858799999999999
Li18Ni18O32_0 18 18 32 -330.80797999999999 31.801500000000001
Li16Ni18O32_0 16 18 32 -322.55732 31.858799999999999
Li14Ni18O32_15 14 18 32 -312.27902999999998 31.858799999999999
Li12Ni18O32_1 12 18 32 -302.32911000000001 31.858799999999999
Li10Ni18O32_0 10 18 32 -291.43425999999999 31.858799999999999
Li18Ni18O30_1 18 18 30 -315.27507000000003 31.858799999999999
Li16Ni18O30_1 16 18 30 -311.08708999999999 31.858799999999999
Li14Ni18O30_12 14 18 30 -300.95076 31.801500000000001
Li12Ni18O30_9 12 18 30 -291.28703000000002 31.858799999999999
Li10Ni18O30_0 10 18 30 -280.928 31.858799999999999
Li18Ni18O28_1 18 18 28 -302.51015999999998 31.801500000000001
Li16Ni18O28_0 16 18 28 -295.59485000000001 31.801500000000001
Li14Ni18O28_2 14 18 28 -286.69859000000002 31.801500000000001
Li12Ni18O28_0 12 18 28 -280.29613000000001 31.801500000000001
Li10Ni18O28_0 10 18 28 -270.86187999999999 31.801500000000001
