phase_id Li Ni O dft_energy_ev surface_area_angstrom2
Li18Ni18O36_1 18 18 36 -659.35285999999996 31.184999999999999
Li16Ni18O36_1 16 18 36 -646.48013000000003 31.184999999999999
Li14Ni18O36_4 14 18 36 -634.92759999999998 31.184999999999999
Li12Ni18O36_3 12 18 36 -620.70515 31.184999999999999
Li10Ni18O36_0 10 18 36 -606.51981999999998 31.184999999999999
Li18Ni18O34_3 18 18 34 -641.18426999999997 31.184999999999999
Li16Ni18O34_12 16 18 34 -630.17294000000004 31.184999999999999
Li14Ni18O34_0 14 18 34 -619.73473000000001 31.184999999999999
Li12Ni18O34_12 12 18 34 -607.67746999999997 31.184999999999999
Li10Ni18O34_1 10 18 34 -594.18799999999999 31.184999999999999
Li18Ni18O32_0 18 18 32 -621.70502999999997 31.184999999999999
Li16Ni18O32_0 16 18 32 -614.31338000000005 31.184999999999999
Li14Ni18O32_15 14 18 32 -603.92057999999997 31.184999999999999
Li12Ni18O32_1 12 18 32 -593.21321 31.184999999999999
Li10Ni18O32_0 10 18 32 -581.43231000000003 31.184999999999999
Li18Ni18O30_1 18 18 30 -603.22698000000003 31.184999999999999
Li16Ni18O30_1 16 18 30 -597.88437999999996 31.184999999999999
Li14Ni18O30_12 14 18 30 -586.98136 31.184999999999999
Li12Ni18O30_9 12 18 30 -578.91941999999995 31.184999999999999
Li10Ni18O30_0 10 18 30 -567.99334999999996 31.184999999999999
Li18Ni18O28_1 18 18 28 -585.02684999999997 31.184999999999999
Li16Ni18O28_0 16 18 28 -576.28821000000005 31.184999999999999
Li14Ni18O28_2 14 18 28 -569.39068999999995 31.184999999999999
Li12Ni18O28_0 12 18 28 -562.84600999999998 31.184999999999999
Li10Ni18O28_0 10 18 28 -553.20419000000004 31.184999999999999
